Date,Open,High,Low,Close,Adj Close,Volume
2021-03-25,9.949999809265137,9.949999809265137,9.520000457763672,9.869999885559082,9.869999885559082,117100
2021-03-26,9.850000381469727,9.960000038146973,9.75,9.960000038146973,9.960000038146973,158300
2021-03-29,9.699999809265137,9.902000427246094,9.5,9.779999732971191,9.779999732971191,53600
2021-03-30,9.800000190734863,9.850000381469727,9.800000190734863,9.829999923706055,9.829999923706055,52300
2021-03-31,9.75,9.899999618530273,9.75,9.899999618530273,9.899999618530273,78600
2021-04-01,9.979999542236328,9.979999542236328,9.739999771118164,9.770000457763672,9.770000457763672,151900
2021-04-05,9.819999694824219,10.0,9.8100004196167,10.0,10.0,208100
2021-04-06,9.859999656677246,9.869999885559082,9.800000190734863,9.850000381469727,9.850000381469727,242900
2021-04-07,9.869999885559082,9.869999885559082,9.770000457763672,9.859999656677246,9.859999656677246,250200
2021-04-08,9.829999923706055,9.920000076293945,9.8100004196167,9.890000343322754,9.890000343322754,59800
2021-04-09,9.866000175476074,9.888999938964844,9.84000015258789,9.875,9.875,18400
2021-04-12,9.880000114440918,9.949999809265137,9.880000114440918,9.949999809265137,9.949999809265137,20200
2021-04-13,9.989999771118164,9.989999771118164,9.899999618530273,9.90999984741211,9.90999984741211,126600
2021-04-14,9.90999984741211,9.930000305175781,9.890000343322754,9.899999618530273,9.899999618530273,458400
2021-04-15,9.899999618530273,9.920000076293945,9.819999694824219,9.869999885559082,9.869999885559082,251400
2021-04-16,9.90999984741211,9.90999984741211,9.829999923706055,9.829999923706055,9.829999923706055,29200
2021-04-19,9.850000381469727,9.864999771118164,9.800000190734863,9.84000015258789,9.84000015258789,438100
2021-04-20,10.0,10.0,9.739999771118164,9.8100004196167,9.8100004196167,165100
2021-04-21,9.800000190734863,9.8100004196167,9.770000457763672,9.800000190734863,9.800000190734863,342800
2021-04-22,9.779999732971191,9.819999694824219,9.779999732971191,9.800000190734863,9.800000190734863,69200
2021-04-23,9.800000190734863,9.8100004196167,9.789999961853027,9.8100004196167,9.8100004196167,195300
2021-04-26,9.789999961853027,9.859999656677246,9.779999732971191,9.800000190734863,9.800000190734863,86100
2021-04-27,9.84000015258789,9.869000434875488,9.791000366210938,9.800000190734863,9.800000190734863,109500
2021-04-28,9.84000015258789,9.84000015258789,9.789999961853027,9.800000190734863,9.800000190734863,139800
2021-04-29,9.8100004196167,9.859999656677246,9.805000305175781,9.819999694824219,9.819999694824219,58500
2021-04-30,9.8100004196167,9.869999885559082,9.75,9.829999923706055,9.829999923706055,901500
2021-05-03,9.869999885559082,9.869999885559082,9.800000190734863,9.8100004196167,9.8100004196167,2208200
2021-05-04,9.829999923706055,9.848999977111816,9.8100004196167,9.829999923706055,9.829999923706055,406200
2021-05-05,9.829999923706055,9.850000381469727,9.819999694824219,9.829999923706055,9.829999923706055,22900
2021-05-06,9.819999694824219,9.859999656677246,9.800000190734863,9.8100004196167,9.8100004196167,340400
2021-05-07,9.8100004196167,9.859999656677246,9.800000190734863,9.824999809265137,9.824999809265137,95800
2021-05-10,9.880000114440918,9.880000114440918,9.819999694824219,9.859999656677246,9.859999656677246,76100
2021-05-11,9.8100004196167,9.859999656677246,9.779999732971191,9.84000015258789,9.84000015258789,594500
2021-05-12,9.84000015258789,9.895000457763672,9.829999923706055,9.880000114440918,9.880000114440918,1527500
